,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
FEV1 Ref Post Bronch Percent,FEV1 Ref Post Bronch Percent,FEV1RefPostBronchPercent,The percentage comparison to a normal value reference range of the volume of air that a patient can forcibly exhale from the lungs in one second post-bronchodilator.,False,,,,FollowUp
ECOG Performance Status,ECOG Performance Status,ECOGPerformanceStatus,The ECOG functional performance status of the patient/participant.,False,,"['3.0', '4', '4.0', '1', '1.0', '5', '5.0', '0.0', '2.0', '2', '3', '0', '']",,FollowUp
HAART Treatment Indicator,HAART Treatment Indicator,HAARTTreatmentIndicator,The text term used to indicate whether the patient received Highly Active Antiretroviral Therapy (HAART).,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,FollowUp
Days to Adverse Event,Days to Adverse Event,DaystoAdverseEvent,Number of days between the date used for index and the date of the patient's adverse event.,False,,,,FollowUp
FEV1 Ref Pre Bronch Percent,FEV1 Ref Pre Bronch Percent,FEV1RefPreBronchPercent,The percentage comparison to a normal value reference range of the volume of air that a patient can forcibly exhale from the lungs in one second pre-bronchodilator.,False,,,,FollowUp
Cause of Response,Cause of Response,CauseofResponse,The text term used to describe the suspected cause or reason for the patient disease response.,False,,,,FollowUp
FEV 1 FVC Pre Bronch Percent,FEV 1 FVC Pre Bronch Percent,FEV1FVCPreBronchPercent,Percentage value to represent result of Forced Expiratory Volume in 1 second (FEV1) divided by the Forced Vital Capacity (FVC) pre-bronchodilator.,False,,,,FollowUp
Risk Factor Treatment,Risk Factor Treatment,RiskFactorTreatment,The yes/no/unknown indicator used to describe whether the patient received treatment for a risk factor the patient had at the time of or prior to their diagnosis.,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,FollowUp
Progression or Recurrence,Progression or Recurrence,ProgressionorRecurrence,Yes/No/unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,True,,"['No', 'Yes - Progression or Recurrence', 'Unknown', 'Not Reported']",,FollowUp
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,FollowUp
CD4 Count,CD4 Count,CD4Count,The text term used to describe the outcome of the procedure to determine the amount of the CD4 expressing cells in a sample.,False,,,,FollowUp
Diabetes Treatment Type,Diabetes Treatment Type,DiabetesTreatmentType,Text term used to describe the types of treatment used to manage diabetes.,False,,"['Alpha-Glucosidase Inhibitor', 'Diet', 'Sulfonylurea', 'Oral Hypoglycemic', 'Not Reported', 'Injected Insulin', 'Thiazolidinedione', 'Other', 'Unknown', 'Biguanide', 'Insulin', '']",,FollowUp
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,FollowUp
FEV1 FVC Post Bronch Percent,FEV1 FVC Post Bronch Percent,FEV1FVCPostBronchPercent,Percentage value to represent result of Forced Expiratory Volume in 1 second (FEV1) divided by the Forced Vital Capacity (FVC) post-bronchodilator.,False,,,,FollowUp
Nadir CD4 Count,Nadir CD4 Count,NadirCD4Count,Numeric value that represents the lowest point to which the CD4 count has dropped (nadir).,False,,,,FollowUp
Recist Targeted Regions Sum,Recist Targeted Regions Sum,RecistTargetedRegionsSum,"Numeric value that represents the sum of baseline target lesions, as described by the Response Evaluation Criteria in Solid Tumours (RECIST) criteria.",False,,,,FollowUp
Evidence of Recurrence Type,Evidence of Recurrence Type,EvidenceofRecurrenceType,The text term used to describe the type of evidence used to determine whether the patient's disease recurred,False,,"['Biopsy with Histologic Confirmation', 'Positive Biomarkers', 'Convincing Image Source', '']",,FollowUp
Comorbidity Method of Diagnosis,Comorbidity Method of Diagnosis,ComorbidityMethodofDiagnosis,The text term used to describe the method used to diagnose the patient's comorbidity disease.,False,,"['Radiology', 'Not Reported', 'Pathology', 'Histology', 'Unknown', '']",,FollowUp
Imaging Type,Imaging Type,ImagingType,The text term used to describe the type of imaging or scan performed on the patient.,False,,"['99mTc Bone Scintigraphy', 'MRI', 'CT Scan', 'PET', '']",,FollowUp
Hysterectomy Margins Involved,Hysterectomy Margins Involved,HysterectomyMarginsInvolved,The text term used to indicate whether the patient's disease was determined to be involved based on the surgical margins of the hysterectomy.,False,,"['None', 'Not Reported', 'Macroscopic Parametrium', 'Microscopic Parametrium', 'Unknown', 'Bladder', 'Vagina', '']",,FollowUp
HPV Positive Type,HPV Positive Type,HPVPositiveType,Text classification to represent the strain or type of human papillomavirus identified in an individual.,False,,"['58', '26', '51', '82', '59', '73', '33', '18', '53', '63', '66', '31', '39', '16', '45', '52', '70', '56', '35', '68', '']",,FollowUp
Hepatitis Sustained Virological Response,Hepatitis Sustained Virological Response,HepatitisSustainedVirologicalResponse,The yes/no/unknown indicator used to describe whether the patient received treatment for a risk factor the patient had at the time of or prior to their diagnosis.,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,FollowUp
BMI,BMI,BMI,A calculated numerical quantity that represents an individual's weight to height ratio.,False,,,,FollowUp
Days to Comorbidity,Days to Comorbidity,DaystoComorbidity,Number of days between the date used for index and the date the patient was diagnosed with a comorbidity.,False,,,,FollowUp
Height,Height,Height,The height of the patient in centimeters.,False,,,,FollowUp
Hormonal Contraceptive Use,Hormonal Contraceptive Use,HormonalContraceptiveUse,The text term used to indicate whether the patient used hormonal contraceptives.,False,,"['Current User', 'Not Reported', 'Former User', 'Unknown', 'Never Used', '']",,FollowUp
Days to Recurrence,Days to Recurrence,DaystoRecurrence,Number of days between the date used for index and the date the patient's disease recurred.,False,True,," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Days to Recurrence"" is required",FollowUp
Days to Progression,Days to Progression,DaystoProgression,Number of days between the date used for index and the date the patient's disease progressed.,False,True,," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Days to Progression"" is required",FollowUp
Progression or Recurrence Type,Progression or Recurrence Type,ProgressionorRecurrenceType,The text term used to describe the type of progressive or recurrent disease or relapsed disease.,False,True,"['Distant', 'Not Reported', 'Unknown', 'Biochemical', 'Regional', 'Local', '']"," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Progression or Recurrence Type"" is required",FollowUp
Progression or Recurrence Anatomic Site,Progression or Recurrence Anatomic Site,ProgressionorRecurrenceAnatomicSite,The text term used to describe the anatomic site of resection; biopsy; tissue or organ of biospecimen origin; progression or recurrent disease; treatment,False,True,"['Paraurethral gland', 'Colon NOS', 'Frontal sinus', 'Overlapping lesion of tongue', 'Overlapping lesion of palate', 'Scrotum NOS', 'Bone marrow', 'Axillary tail of breast', 'Overlapping lesion of bones joints and articular cartilage of limbs', 'unknown primary site', 'Broad ligament', 'Lateral floor of mouth', 'Overlapping lesion of vulva', 'Trigone of bladder', 'Lacrimal gland', 'Thorax NOS', 'Ampulla of Vater', 'Myometrium', 'Penis NOS', 'Female genital tract NOS', 'Submandibular gland', 'Anterior 2/3 of tongue NOS', 'Posterior wall of bladder', 'Thymus', 'Endocrine gland NOS', 'Stomach NOS', 'Unknown', 'Cerebrum', 'Splenic flexure of colon', 'Urachus', 'Skin of lip NOS', 'Mucosa of lip NOS', 'Accessory sinus NOS', 'Cortex of adrenal gland', 'Other ill-defined sites', 'Middle lobe lung', 'Pelvis NOS', 'Anus NOS', 'Upper-inner quadrant of breast', 'Posterior mediastinum', 'Esophagus NOS', 'Duodenum', 'Cervical esophagus', 'Optic nerve', 'Long bones of lower limb and associated joints', 'Middle ear', 'Breast NOS', 'Dorsal surface of tongue NOS', 'Lesser curvature of stomach NOS', 'Overlapping lesion of floor of mouth', 'Overlapping lesion of heart mediastinum and pleura', 'Eye NOS', 'Overlapping lesion of esophagus', 'Ciliary body', 'Ureteric orifice', 'Postcricoid region', 'External ear', 'Base of tongue NOS', 'Liver', 'Commissure of lip', 'Cloacogenic zone', 'Lower lobe lung', 'Transverse colon', 'Acoustic nerve', 'Supraglottis', 'Fallopian tube', 'Upper third of esophagus', 'Skin of scalp and neck', 'Choroid', 'Long bones of upper limb scapula and associated joints', 'Overlapping lesion of brain', 'Upper gum', 'Skin NOS', 'Hard palate', 'Ileum', 'Overlapping lesion of colon', 'Ascending colon', 'Lower gum', 'Pelvic bones sacrum coccyx and associated joints', 'Hepatic flexure of colon', 'Peripheral nerves and autonomic nervous system of upper limb and shoulder', 'Vestibule of mouth', 'Cervix uteri', 'Bones of skull and face and associated joints', 'Overlapping lesion of lip oral cavity and pharynx', 'Endometrium', 'Sphenoid sinus', 'Overlapping lesion of ill-defined sites', 'Sigmoid colon', 'Peritoneum NOS', 'Specified parts of peritoneum', 'Meckel diverticulum', 'Rectosigmoid junction', 'Kidney NOS', 'Reticuloendothelial system NOS', 'Rectum NOS', 'Pylorus', 'Overlapping lesion of tonsil', 'Pleura NOS', 'Jejunum', 'Vallecula', 'Skin of lower limb and hip', 'Pelvic lymph nodes', 'External lower lip', 'Overlapping lesion of skin', 'Mucosa of upper lip', 'Ovary', 'Cauda equina', 'Lower limb NOS', 'Body of stomach', 'Overlapping lesion of larynx', 'Pancreas NOS', 'Overlapping lesion of lung', 'Overlapping lesion of major salivary glands', 'Uvula', 'Overlapping lesion of hypopharynx', 'Round ligament', 'Corpus uteri', 'Biliary tract NOS', 'Male genital organs NOS', 'Parametrium', 'External lip NOS', 'Overlapping lesion of accessory sinuses', 'Cardia NOS', 'Islets of Langerhans', 'Carotid body', 'Ventral surface of tongue NOS', 'Autonomic nervous system NOS', 'Overlapping lesion of corpus uteri', 'Spinal meninges', 'Posterior wall of nasopharynx', 'Placenta', 'Intrahepatic bile duct', 'Overlapping lesion of digestive system', 'Mediastinum NOS', 'Hematopoietic system NOS', 'Connective subcutaneous and other soft tissues of upper limb and shoulder', 'Major salivary gland NOS', 'Cerebellum NOS', 'Overlapping lesion of stomach', 'Vulva NOS', 'Craniopharyngeal duct', 'Lung NOS', 'Greater curvature of stomach NOS', 'Upper-outer quadrant of breast', 'Gallbladder', 'Thoracic esophagus', 'Lymph nodes of axilla or arm', 'Ventricle NOS', 'Overlapping lesion of biliary tract', 'Hypopharynx NOS', 'Clitoris', 'Exocervix', 'Parietal lobe', 'Waldeyer ring', 'Connective subcutaneous and other soft tissues of lower limb and hip', 'Head face or neck NOS', 'Anterior wall of nasopharynx', 'Urethra', 'Overlapping lesion of nasopharynx', 'Maxillary sinus', 'Lymph nodes of inguinal region or leg', 'Ureter', 'Tonsillar pillar', 'Sublingual gland', 'Pituitary gland', 'Gastrointestinal tract NOS', 'Pineal gland', 'Meninges NOS', 'Lingual tonsil', 'Trachea', 'Pyriform sinus', 'Mucosa of lower lip', 'Not Reported', 'Posterior wall of hypopharynx', 'Urinary system NOS', 'Orbit NOS', 'Short bones of lower limb and associated joints', 'Connective subcutaneous and other soft tissues of thorax', 'Upper limb NOS', 'Gastric antrum', 'Lymph node NOS', 'Peripheral nerves and autonomic nervous system of thorax', 'Ill-defined sites within respiratory system', 'Other specified parts of male genital organs', 'Rib sternum clavicle and associated joints', 'Overlapping lesion of bladder', 'Appendix', 'Prostate gland', 'Lymph nodes of multiple regions', 'Lateral wall of nasopharynx', 'Branchial cleft', 'Connective subcutaneous and other soft tissues of trunk NOS', 'Floor of mouth NOS', 'Connective subcutaneous and other soft tissues NOS', 'Overlapping lesion of connective subcutaneous and other soft tissues', 'Bladder neck', 'Border of tongue', 'Connective subcutaneous and other soft tissues of abdomen', 'Overlapping lesion of small intestine', 'Lateral wall of bladder', 'Soft palate NOS', 'Peripheral nerves and autonomic nervous system of abdomen', 'Isthmus uteri', 'Nasal cavity', 'Endocervix', 'Tonsil NOS', 'Glottis', 'Retroperitoneum', 'Peripheral nerves and autonomic nervous system of pelvis', 'Frontal lobe', 'Vagina NOS', 'Undescended testis', 'Laryngeal cartilage', 'Eyelid', 'Hypopharyngeal aspect of aryepiglottic fold', 'Overlapping lesion of other and unspecified parts of mouth', 'Upper lobe lung', 'Lip NOS', 'Lymph nodes of head face and neck', 'Overlapping lesion of brain and central nervous system', 'Overlapping lesion of penis', 'Overlapping lesion of retroperitoneum and peritoneum', 'Parotid gland', 'Dome of bladder', 'Bone of limb NOS', 'Descended testis', 'Vertebral column', 'Fundus uteri', 'Connective subcutaneous and other soft tissues of pelvis', 'Epididymis', 'Intra-abdominal lymph nodes', 'Prepuce', 'Peripheral nerves and autonomic nervous system of head face and neck', 'Pharynx NOS', 'Overlapping lesion of endocrine glands and related structures', 'Gum NOS', 'Spinal cord', 'Overlapping lesion of peripheral nerves and autonomic nervous system', 'Skin of upper limb and shoulder', 'Nasopharynx NOS', 'Parathyroid gland', 'Bone NOS', 'Mouth NOS', 'Abdomen NOS', 'Conjunctiva', 'Spermatic cord', 'External upper lip', 'Labium minus', 'Renal pelvis', 'Overlapping lesion of lip', 'Short bones of upper limb and associated joints', 'Main bronchus', 'Upper respiratory tract NOS', 'Body of penis', 'Small intestine NOS', 'Central portion of breast', 'Lower-inner quadrant of breast', 'Labium majus', 'Tonsillar fossa', 'Cecum', 'Glans penis', 'Tail of pancreas', 'Lower third of esophagus', 'Body of pancreas', 'Intestinal tract NOS', 'Brain stem', 'Overlapping lesion of rectum anus and anal canal', 'Posterior wall of oropharynx', 'Pancreatic duct', 'Blood', 'Temporal lobe', 'Anterior floor of mouth', 'Nervous system NOS', 'Cornea NOS', 'Palate NOS', 'Occipital lobe', 'Abdominal esophagus', 'Overlapping lesion of pancreas', 'Overlapping lesion of female genital organs', 'Cheek mucosa', 'Retina', 'Overlapping lesion of male genital organs', 'Peripheral nerves and autonomic nervous system of trunk NOS', 'Larynx NOS', 'Skin of other and unspecified parts of face', 'Spleen', 'Oropharynx NOS', 'Anal canal', 'Subglottis', 'Cerebral meninges', 'Lateral wall of oropharynx', 'Middle third of esophagus', 'Nipple', 'Medulla of adrenal gland', 'Overlapping lesion of eye and adnexa', 'Olfactory nerve', 'Ethmoid sinus', 'Overlapping lesion of cervix uteri', 'Descending colon', 'Brain NOS', 'Overlapping lesion of respiratory system and intrathoracic organs', 'Anterior wall of bladder', 'Mandible', 'Other specified parts of pancreas', 'Skin of trunk', 'Other specified parts of female genital organs', 'Uterus NOS', 'Peripheral nerves and autonomic nervous system of lower limb and hip', 'Intrathoracic lymph nodes', 'Heart', 'Adrenal gland NOS', 'Aortic body and other paraganglia', 'Extrahepatic bile duct', 'Overlapping lesion of breast', 'Superior wall of nasopharynx', 'Fundus of stomach', 'Anterior mediastinum', 'Tongue NOS', 'Cranial nerve NOS', 'Head of pancreas', 'Overlapping lesions of oropharynx', 'Overlapping lesion of bones joints and articular cartilage', 'Retromolar area', 'Testis NOS', 'Connective subcutaneous and other soft tissues of head face and neck', 'Bladder NOS', 'Overlapping lesion of urinary organs', 'Lower-outer quadrant of breast', 'Thyroid gland', 'Anterior surface of epiglottis', 'Uterine adnexa', '']"," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Progression or Recurrence Anatomic Site"" is required",FollowUp
Days to Progression Free,Days to Progression Free,DaystoProgressionFree,Number of days between the date used for index and the date the patient's disease was formally confirmed as progression-free.,False,True,," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Days to Progression Free"" is required",FollowUp
Anaplasia Present,Anaplasia Present,AnaplasiaPresent,Yes/no/unknown/Not Reported indicator used to describe whether anaplasia was present at the time of diagnosis.,False,,"['No', 'Yes - Anaplasia Present', 'Unknown', 'Not Reported', '']",,Diagnosis
Cog Neuroblastoma Risk Group,Cog Neuroblastoma Risk Group,CogNeuroblastomaRiskGroup,Text term that represents the categorization of patients on the basis of prognostic factors per a system developed by Children's Oncology Group (COG). Risk level is used to assign treatment intensity.,False,,"['Not Reported', 'High Risk', 'Intermediate Risk', 'Unknown', 'Low Risk', '']",,Diagnosis
Days to Last Known Disease Status,Days to Last Known Disease Status,DaystoLastKnownDiseaseStatus,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.",True,,,,Diagnosis
Tissue or Organ of Origin,Tissue or Organ of Origin,TissueorOrganofOrigin,"The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",True,,"['Paraurethral gland', 'Colon NOS', 'Frontal sinus', 'Overlapping lesion of tongue', 'Overlapping lesion of palate', 'Scrotum NOS', 'Bone marrow', 'Axillary tail of breast', 'Overlapping lesion of bones joints and articular cartilage of limbs', 'unknown primary site', 'Broad ligament', 'Lateral floor of mouth', 'Overlapping lesion of vulva', 'Trigone of bladder', 'Lacrimal gland', 'Thorax NOS', 'Ampulla of Vater', 'Myometrium', 'Penis NOS', 'Female genital tract NOS', 'Submandibular gland', 'Anterior 2/3 of tongue NOS', 'Posterior wall of bladder', 'Thymus', 'Endocrine gland NOS', 'Stomach NOS', 'Unknown', 'Cerebrum', 'Splenic flexure of colon', 'Urachus', 'Skin of lip NOS', 'Mucosa of lip NOS', 'Accessory sinus NOS', 'Cortex of adrenal gland', 'Other ill-defined sites', 'Middle lobe lung', 'Pelvis NOS', 'Anus NOS', 'Upper-inner quadrant of breast', 'Posterior mediastinum', 'Esophagus NOS', 'Duodenum', 'Cervical esophagus', 'Optic nerve', 'Long bones of lower limb and associated joints', 'Middle ear', 'Breast NOS', 'Dorsal surface of tongue NOS', 'Lesser curvature of stomach NOS', 'Overlapping lesion of floor of mouth', 'Overlapping lesion of heart mediastinum and pleura', 'Eye NOS', 'Overlapping lesion of esophagus', 'Ciliary body', 'Ureteric orifice', 'Postcricoid region', 'External ear', 'Base of tongue NOS', 'Liver', 'Commissure of lip', 'Cloacogenic zone', 'Lower lobe lung', 'Transverse colon', 'Acoustic nerve', 'Supraglottis', 'Fallopian tube', 'Upper third of esophagus', 'Skin of scalp and neck', 'Choroid', 'Long bones of upper limb scapula and associated joints', 'Overlapping lesion of brain', 'Upper gum', 'Skin NOS', 'Hard palate', 'Ileum', 'Overlapping lesion of colon', 'Ascending colon', 'Lower gum', 'Pelvic bones sacrum coccyx and associated joints', 'Hepatic flexure of colon', 'Peripheral nerves and autonomic nervous system of upper limb and shoulder', 'Vestibule of mouth', 'Cervix uteri', 'Bones of skull and face and associated joints', 'Overlapping lesion of lip oral cavity and pharynx', 'Endometrium', 'Sphenoid sinus', 'Overlapping lesion of ill-defined sites', 'Sigmoid colon', 'Peritoneum NOS', 'Specified parts of peritoneum', 'Meckel diverticulum', 'Rectosigmoid junction', 'Kidney NOS', 'Reticuloendothelial system NOS', 'Rectum NOS', 'Pylorus', 'Overlapping lesion of tonsil', 'Pleura NOS', 'Jejunum', 'Vallecula', 'Skin of lower limb and hip', 'Pelvic lymph nodes', 'External lower lip', 'Overlapping lesion of skin', 'Mucosa of upper lip', 'Ovary', 'Cauda equina', 'Lower limb NOS', 'Body of stomach', 'Overlapping lesion of larynx', 'Pancreas NOS', 'Overlapping lesion of lung', 'Overlapping lesion of major salivary glands', 'Uvula', 'Overlapping lesion of hypopharynx', 'Round ligament', 'Corpus uteri', 'Biliary tract NOS', 'Male genital organs NOS', 'Parametrium', 'External lip NOS', 'Overlapping lesion of accessory sinuses', 'Cardia NOS', 'Islets of Langerhans', 'Carotid body', 'Ventral surface of tongue NOS', 'Autonomic nervous system NOS', 'Overlapping lesion of corpus uteri', 'Spinal meninges', 'Posterior wall of nasopharynx', 'Placenta', 'Intrahepatic bile duct', 'Overlapping lesion of digestive system', 'Mediastinum NOS', 'Hematopoietic system NOS', 'Connective subcutaneous and other soft tissues of upper limb and shoulder', 'Major salivary gland NOS', 'Cerebellum NOS', 'Overlapping lesion of stomach', 'Vulva NOS', 'Craniopharyngeal duct', 'Lung NOS', 'Greater curvature of stomach NOS', 'Upper-outer quadrant of breast', 'Gallbladder', 'Thoracic esophagus', 'Lymph nodes of axilla or arm', 'Ventricle NOS', 'Overlapping lesion of biliary tract', 'Hypopharynx NOS', 'Clitoris', 'Exocervix', 'Parietal lobe', 'Waldeyer ring', 'Connective subcutaneous and other soft tissues of lower limb and hip', 'Head face or neck NOS', 'Anterior wall of nasopharynx', 'Urethra', 'Overlapping lesion of nasopharynx', 'Maxillary sinus', 'Lymph nodes of inguinal region or leg', 'Ureter', 'Tonsillar pillar', 'Sublingual gland', 'Pituitary gland', 'Gastrointestinal tract NOS', 'Pineal gland', 'Meninges NOS', 'Lingual tonsil', 'Trachea', 'Pyriform sinus', 'Mucosa of lower lip', 'Not Reported', 'Posterior wall of hypopharynx', 'Urinary system NOS', 'Orbit NOS', 'Short bones of lower limb and associated joints', 'Connective subcutaneous and other soft tissues of thorax', 'Upper limb NOS', 'Gastric antrum', 'Lymph node NOS', 'Peripheral nerves and autonomic nervous system of thorax', 'Ill-defined sites within respiratory system', 'Other specified parts of male genital organs', 'Rib sternum clavicle and associated joints', 'Overlapping lesion of bladder', 'Appendix', 'Prostate gland', 'Lymph nodes of multiple regions', 'Lateral wall of nasopharynx', 'Branchial cleft', 'Connective subcutaneous and other soft tissues of trunk NOS', 'Floor of mouth NOS', 'Connective subcutaneous and other soft tissues NOS', 'Overlapping lesion of connective subcutaneous and other soft tissues', 'Bladder neck', 'Border of tongue', 'Connective subcutaneous and other soft tissues of abdomen', 'Overlapping lesion of small intestine', 'Lateral wall of bladder', 'Soft palate NOS', 'Peripheral nerves and autonomic nervous system of abdomen', 'Isthmus uteri', 'Nasal cavity', 'Endocervix', 'Tonsil NOS', 'Glottis', 'Retroperitoneum', 'Peripheral nerves and autonomic nervous system of pelvis', 'Frontal lobe', 'Vagina NOS', 'Undescended testis', 'Laryngeal cartilage', 'Eyelid', 'Hypopharyngeal aspect of aryepiglottic fold', 'Overlapping lesion of other and unspecified parts of mouth', 'Upper lobe lung', 'Lip NOS', 'Lymph nodes of head face and neck', 'Overlapping lesion of brain and central nervous system', 'Overlapping lesion of penis', 'Overlapping lesion of retroperitoneum and peritoneum', 'Parotid gland', 'Dome of bladder', 'Bone of limb NOS', 'Descended testis', 'Vertebral column', 'Fundus uteri', 'Connective subcutaneous and other soft tissues of pelvis', 'Epididymis', 'Intra-abdominal lymph nodes', 'Paraspinal', 'Prepuce', 'Peripheral nerves and autonomic nervous system of head face and neck', 'Pharynx NOS', 'Overlapping lesion of endocrine glands and related structures', 'Gum NOS', 'Spinal cord', 'Overlapping lesion of peripheral nerves and autonomic nervous system', 'Skin of upper limb and shoulder', 'Nasopharynx NOS', 'Parathyroid gland', 'Bone NOS', 'Mouth NOS', 'Abdomen NOS', 'Conjunctiva', 'Spermatic cord', 'External upper lip', 'Labium minus', 'Renal pelvis', 'Overlapping lesion of lip', 'Short bones of upper limb and associated joints', 'Main bronchus', 'Upper respiratory tract NOS', 'Body of penis', 'Small intestine NOS', 'Central portion of breast', 'Lower-inner quadrant of breast', 'Labium majus', 'Tonsillar fossa', 'Cecum', 'Glans penis', 'Tail of pancreas', 'Lower third of esophagus', 'Body of pancreas', 'Intestinal tract NOS', 'Brain stem', 'Overlapping lesion of rectum anus and anal canal', 'Posterior wall of oropharynx', 'Pancreatic duct', 'Blood', 'Temporal lobe', 'Anterior floor of mouth', 'Nervous system NOS', 'Cornea NOS', 'Palate NOS', 'Occipital lobe', 'Abdominal esophagus', 'Overlapping lesion of pancreas', 'Overlapping lesion of female genital organs', 'Cheek mucosa', 'Retina', 'Overlapping lesion of male genital organs', 'Peripheral nerves and autonomic nervous system of trunk NOS', 'Larynx NOS', 'Skin of other and unspecified parts of face', 'Spleen', 'Oropharynx NOS', 'Anal canal', 'Subglottis', 'Cerebral meninges', 'Lateral wall of oropharynx', 'Middle third of esophagus', 'Nipple', 'Medulla of adrenal gland', 'Overlapping lesion of eye and adnexa', 'Olfactory nerve', 'Ethmoid sinus', 'Overlapping lesion of cervix uteri', 'Descending colon', 'Brain NOS', 'Overlapping lesion of respiratory system and intrathoracic organs', 'Anterior wall of bladder', 'Mandible', 'Other specified parts of pancreas', 'Skin of trunk', 'Other specified parts of female genital organs', 'Uterus NOS', 'Peripheral nerves and autonomic nervous system of lower limb and hip', 'Intrathoracic lymph nodes', 'Heart', 'Adrenal gland NOS', 'Aortic body and other paraganglia', 'Extrahepatic bile duct', 'Overlapping lesion of breast', 'Superior wall of nasopharynx', 'Fundus of stomach', 'Anterior mediastinum', 'Tongue NOS', 'Cranial nerve NOS', 'Head of pancreas', 'Overlapping lesions of oropharynx', 'Overlapping lesion of bones joints and articular cartilage', 'Retromolar area', 'Testis NOS', 'Connective subcutaneous and other soft tissues of head face and neck', 'Bladder NOS', 'Overlapping lesion of urinary organs', 'Lower-outer quadrant of breast', 'Thyroid gland', 'Anterior surface of epiglottis', 'Uterine adnexa']",,Diagnosis
Primary Gleason Grade,Primary Gleason Grade,PrimaryGleasonGrade,"The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.",False,,"['Pattern 2', 'Pattern 3', 'Pattern 5', 'Pattern 1', 'Pattern 4', '']",,Diagnosis
Mitosis Karyorrhexis Index,Mitosis Karyorrhexis Index,MitosisKaryorrhexisIndex,Text term that represents the component of the International Neuroblastoma Pathology Classification (INPC) for mitosis-karyorrhexis index (MKI).,False,,"['Not Reported', 'Low', 'Intermediate', 'Unknown', 'High', '']",,Diagnosis
IRS Stage,IRS Stage,IRSStage,"The text term used to describe the classification of rhabdomyosarcoma tumors, as defined by the Intergroup Rhabdomyosarcoma Study (IRS).",False,,"['4', '1', 'Not Reported', 'Unknown', '2', '3', '']",,Diagnosis
Anaplasia Present Type,Anaplasia Present Type,AnaplasiaPresentType,"The text term used to describe the morphologic findings indicating the presence of a malignant cellular infiltrate characterized by the presence of large pleomorphic cells, necrosis, and high mitotic activity in a tissue sample.",False,,"['Equivocal', 'Not Reported', 'Absent', 'Unknown', 'Focal', 'Sclerosis', 'Diffuse', 'Present', '']",,Diagnosis
International Prognostic Index,International Prognostic Index,InternationalPrognosticIndex,"The text term used to describe the International Prognostic Index, which classifies the prognosis of patients with aggressive non-Hodgkin's lymphoma.",False,,"['High Risk', 'High-Intermediate Risk', 'Low-Intermediate Risk', 'Low Risk', '']",,Diagnosis
Days to Last Follow up,Days to Last Follow up,DaystoLastFollowup,"Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.",True,,,,Diagnosis
AJCC Pathologic M,AJCC Pathologic M,AJCCPathologicM,"Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).",False,,"['M1c', 'M1', 'Not Reported', 'Unknown', 'M1b', 'M0', 'M1a', 'cM0 (i+)', 'MX', '']",,Diagnosis
Ovarian Specimen Status,Ovarian Specimen Status,OvarianSpecimenStatus,The text term used to describe the physical condition of the involved ovary.,False,,"['Ovarian Capsule Ruptured', 'Not Reported', 'Ovarian Capsule Intact', 'Unknown', 'Ovarian Capsule Fragmented', '']",,Diagnosis
AJCC Pathologic Stage,AJCC Pathologic Stage,AJCCPathologicStage,"The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.",False,,"['Stage IC', 'Stage IIA', 'Stage IIC', 'Stage IVB', 'Stage IIIA', 'Stage IB', 'Stage IIIC2', 'Stage IS', 'Stage I', 'Stage IVC', 'Stage 0', 'Stage IB2', 'Stage IIC1', 'Unknown', 'Stage 0is', 'Stage IVA', 'Stage IA', 'Not Reported', 'Stage 0a', 'Stage Tis', 'Stage X', 'Stage IB1', 'Stage IIB', 'Stage II', 'Stage IA2', 'Stage III', 'Stage IIIC1', 'Stage IV', 'Stage IIIB', 'Stage IIA1', 'Stage IA1', 'Stage IIIC', 'Stage IIA2', '']",,Diagnosis
